       X           Y
 0.556389E+03 0.102685E+00    
 0.570241E+03 0.113983E+00    
 0.528690E+03 0.763593E-01    
 0.514812E+03 0.874498E-01    
 0.523491E+03 0.763205E-01    
 0.504435E+03 0.687156E-01    
 0.494028E+03 0.761006E-01    
 0.487113E+03 0.611237E-01    
 0.469774E+03 0.684570E-01    
 0.450705E+03 0.720460E-01    
 0.442044E+03 0.682500E-01    
 0.393505E+03 0.790818E-01    
 0.372695E+03 0.901205E-01    
 0.369220E+03 0.975573E-01    
 0.883895E+03 0.146174E+00    
 0.889112E+03 0.131288E+00    
 0.878700E+03 0.142404E+00    
 0.871777E+03 0.134890E+00    
 0.861395E+03 0.119887E+00    
 0.849290E+03 0.974086E-01    
 0.837162E+03 0.935867E-01    
 0.835455E+03 0.711859E-01    
 0.854471E+03 0.112373E+00    
 0.833722E+03 0.711730E-01    
 0.833722E+03 0.711730E-01    
 0.838904E+03 0.861370E-01    
 0.847556E+03 0.973956E-01    
 0.830251E+03 0.748784E-01    
 0.826798E+03 0.636586E-01    
 0.816400E+03 0.635810E-01    
 0.804277E+03 0.560279E-01    
 0.802561E+03 0.410897E-01    
 0.812934E+03 0.635552E-01    
 0.792154E+03 0.484747E-01    
 0.785200E+03 0.670795E-01    
 0.786929E+03 0.708238E-01    
 0.783462E+03 0.707979E-01    
 0.773068E+03 0.669890E-01    
 0.771331E+03 0.707074E-01    
 0.953258E+03 0.113110E+00    
 0.972309E+03 0.124446E+00    
 0.979211E+03 0.150617E+00    
 0.102626E+04 0.142709E+01    
 0.103324E+04 0.138983E+01    
 0.103323E+04 0.140102E+01    
 0.103318E+04 0.143833E+01    
 0.103498E+04 0.138611E+01    
 0.103329E+04 0.134505E+01    
 0.103333E+04 0.130774E+01    
 0.103683E+04 0.128538E+01    
 0.103504E+04 0.132641E+01    
 0.102634E+04 0.135619E+01    
 0.101942E+04 0.135241E+01    
 0.101950E+04 0.128151E+01    
 0.101953E+04 0.125540E+01    
 0.102971E+04 0.144577E+01    
 0.103664E+04 0.144582E+01    
 0.103738E+04 0.807768E+00    
 0.104260E+04 0.789150E+00    
 0.103747E+04 0.729410E+00    
 0.104441E+04 0.721999E+00    
 0.103571E+04 0.751785E+00    
 0.107287E+04 0.878830E-01    
 0.108676E+04 0.655987E-01    
 0.916910E+03 0.717938E-01    
 0.911707E+03 0.754863E-01    
 0.757466E+03 0.706039E-01    
 0.738402E+03 0.704616E-01    
 0.712384E+03 0.889242E-01    
 0.698494E+03 0.111209E+00    
 0.688082E+03 0.122325E+00    
 0.675933E+03 0.137160E+00    
 0.679374E+03 0.159573E+00    
 0.672407E+03 0.189372E+00    
 0.674114E+03 0.211773E+00    
 0.665423E+03 0.234096E+00    
 0.667139E+03 0.249034E+00    
 0.668906E+03 0.219197E+00    
 0.674157E+03 0.174460E+00    
 0.667121E+03 0.263960E+00    
 0.660137E+03 0.308684E+00    
 0.663642E+03 0.275128E+00    
 0.665302E+03 0.338573E+00    
 0.661793E+03 0.375860E+00    
 0.663509E+03 0.390798E+00    
 0.663547E+03 0.357216E+00    
 0.667052E+03 0.323661E+00    
 0.663560E+03 0.346023E+00    
 0.663500E+03 0.398261E+00    
 0.663465E+03 0.428111E+00    
 0.661681E+03 0.472874E+00    
 0.656438E+03 0.510149E+00    
 0.656421E+03 0.525074E+00    
 0.654688E+03 0.525061E+00    
 0.652964E+03 0.517585E+00    
 0.652972E+03 0.510123E+00    
 0.649558E+03 0.465321E+00    
 0.646186E+03 0.383206E+00    
 0.646216E+03 0.357087E+00    
 0.642694E+03 0.405568E+00    
 0.635874E+03 0.308502E+00    
 0.642828E+03 0.289898E+00    
 0.632485E+03 0.241313E+00    
 0.632477E+03 0.248776E+00    
 0.632511E+03 0.218925E+00    
 0.635969E+03 0.226414E+00    
 0.641065E+03 0.316004E+00    
 0.639392E+03 0.263753E+00    
 0.620457E+03 0.151671E+00    
 0.615284E+03 0.129244E+00    
 0.630808E+03 0.192793E+00    
 0.629106E+03 0.166661E+00    
 0.608352E+03 0.129193E+00    
 0.599686E+03 0.129128E+00    
 0.587542E+03 0.140231E+00    
 0.580622E+03 0.128986E+00    
 0.580631E+03 0.121523E+00    
 0.561584E+03 0.106456E+00    
 0.544270E+03 0.914010E-01    
 0.530419E+03 0.801036E-01    
