"New 24DF.spc - RawData"
"Wavelength nm.","Abs."
915.50,0.082
916.00,0.081
916.50,0.081
917.00,0.081
917.50,0.081
918.00,0.083
918.50,0.084
919.00,0.083
919.50,0.082
920.00,0.080
920.50,0.080
921.00,0.081
921.50,0.080
922.00,0.081
922.50,0.082
923.00,0.080
923.50,0.079
924.00,0.078
924.50,0.078
925.00,0.078
925.50,0.078
926.00,0.077
926.50,0.077
927.00,0.077
927.50,0.078
928.00,0.078
928.50,0.078
929.00,0.080
929.50,0.079
930.00,0.078
930.50,0.078
931.00,0.078
931.50,0.076
932.00,0.075
932.50,0.076
933.00,0.076
933.50,0.076
934.00,0.078
934.50,0.077
935.00,0.076
935.50,0.078
936.00,0.081
936.50,0.080
937.00,0.079
937.50,0.080
938.00,0.080
938.50,0.079
939.00,0.078
939.50,0.078
940.00,0.079
940.50,0.079
941.00,0.079
941.50,0.079
942.00,0.078
942.50,0.075
943.00,0.074
943.50,0.074
944.00,0.075
944.50,0.076
945.00,0.077
945.50,0.077
946.00,0.076
946.50,0.078
947.00,0.079
947.50,0.076
948.00,0.075
948.50,0.075
949.00,0.074
949.50,0.075
950.00,0.076
950.50,0.076
951.00,0.077
951.50,0.076
952.00,0.073
952.50,0.073
953.00,0.075
953.50,0.076
954.00,0.075
954.50,0.075
955.00,0.075
955.50,0.075
956.00,0.076
956.50,0.075
957.00,0.076
957.50,0.076
958.00,0.074
958.50,0.075
959.00,0.077
959.50,0.076
960.00,0.076
960.50,0.075
961.00,0.077
961.50,0.079
962.00,0.080
962.50,0.080
963.00,0.079
963.50,0.078
964.00,0.077
964.50,0.076
965.00,0.076
965.50,0.077
966.00,0.079
966.50,0.077
967.00,0.078
967.50,0.080
968.00,0.081
968.50,0.081
969.00,0.079
969.50,0.078
970.00,0.078
970.50,0.080
971.00,0.081
971.50,0.082
972.00,0.083
972.50,0.082
973.00,0.082
973.50,0.081
974.00,0.081
974.50,0.080
975.00,0.079
975.50,0.082
976.00,0.086
976.50,0.086
977.00,0.086
977.50,0.087
978.00,0.086
978.50,0.086
979.00,0.086
979.50,0.085
980.00,0.086
980.50,0.086
981.00,0.087
981.50,0.090
982.00,0.094
982.50,0.093
983.00,0.096
983.50,0.099
984.00,0.098
984.50,0.098
985.00,0.095
985.50,0.091
986.00,0.090
986.50,0.090
987.00,0.088
987.50,0.087
988.00,0.086
988.50,0.085
989.00,0.088
989.50,0.090
990.00,0.093
990.50,0.097
991.00,0.096
991.50,0.097
992.00,0.098
992.50,0.096
993.00,0.094
993.50,0.091
994.00,0.092
994.50,0.093
995.00,0.089
995.50,0.086
996.00,0.090
996.50,0.090
997.00,0.089
997.50,0.090
998.00,0.091
998.50,0.092
999.00,0.092
999.50,0.094
1000.00,0.092
1000.50,0.089
1001.00,0.091
1001.50,0.092
1002.00,0.088
1002.50,0.086
1003.00,0.088
1003.50,0.088
1004.00,0.090
1004.50,0.089
1005.00,0.085
1005.50,0.087
1006.00,0.089
1006.50,0.089
1007.00,0.088
1007.50,0.089
1008.00,0.091
1008.50,0.092
1009.00,0.089
1009.50,0.082
1010.00,0.081
1010.50,0.082
1011.00,0.084
1011.50,0.085
1012.00,0.082
1012.50,0.077
1013.00,0.078
1013.50,0.081
1014.00,0.084
1014.50,0.084
1015.00,0.085
1015.50,0.089
1016.00,0.085
1016.50,0.083
1017.00,0.082
1017.50,0.078
1018.00,0.077
1018.50,0.080
1019.00,0.082
1019.50,0.078
1020.00,0.078
1020.50,0.082
1021.00,0.079
1021.50,0.072
1022.00,0.071
1022.50,0.070
1023.00,0.069
1023.50,0.072
1024.00,0.078
1024.50,0.081
1025.00,0.075
1025.50,0.072
1026.00,0.071
1026.50,0.068
1027.00,0.068
1027.50,0.071
1028.00,0.077
1028.50,0.079
1029.00,0.078
1029.50,0.078
1030.00,0.077
1030.50,0.075
1031.00,0.074
1031.50,0.074
1032.00,0.071
1032.50,0.068
1033.00,0.070
1033.50,0.073
1034.00,0.074
1034.50,0.072
1035.00,0.071
1035.50,0.072
1036.00,0.070
1036.50,0.068
1037.00,0.069
1037.50,0.066
1038.00,0.066
1038.50,0.071
1039.00,0.070
1039.50,0.072
1040.00,0.075
1040.50,0.078
1041.00,0.077
1041.50,0.074
1042.00,0.073
1042.50,0.071
1043.00,0.072
1043.50,0.072
1044.00,0.070
1044.50,0.066
1045.00,0.066
1045.50,0.070
1046.00,0.071
1046.50,0.071
1047.00,0.070
1047.50,0.070
1048.00,0.069
1048.50,0.068
1049.00,0.069
1049.50,0.066
1050.00,0.067
1050.50,0.073
1051.00,0.078
1051.50,0.080
1052.00,0.072
1052.50,0.069
1053.00,0.069
1053.50,0.066
1054.00,0.064
1054.50,0.063
1055.00,0.064
1055.50,0.063
1056.00,0.060
1056.50,0.060
1057.00,0.066
1057.50,0.066
1058.00,0.066
1058.50,0.065
1059.00,0.063
1059.50,0.061
1060.00,0.062
1060.50,0.067
1061.00,0.068
1061.50,0.063
1062.00,0.062
1062.50,0.066
1063.00,0.063
1063.50,0.058
1064.00,0.063
1064.50,0.065
1065.00,0.064
1065.50,0.068
1066.00,0.069
1066.50,0.069
1067.00,0.065
1067.50,0.062
1068.00,0.065
1068.50,0.067
1069.00,0.068
1069.50,0.074
1070.00,0.076
1070.50,0.071
1071.00,0.070
1071.50,0.072
1072.00,0.075
1072.50,0.076
1073.00,0.071
1073.50,0.067
1074.00,0.060
1074.50,0.057
1075.00,0.059
1075.50,0.059
1076.00,0.058
1076.50,0.058
1077.00,0.057
1077.50,0.059
1078.00,0.058
1078.50,0.056
1079.00,0.059
1079.50,0.062
1080.00,0.063
1080.50,0.060
1081.00,0.059
1081.50,0.060
1082.00,0.060
1082.50,0.059
1083.00,0.058
1083.50,0.060
1084.00,0.061
1084.50,0.061
1085.00,0.060
1085.50,0.060
1086.00,0.061
1086.50,0.062
1087.00,0.064
1087.50,0.066
1088.00,0.066
1088.50,0.063
1089.00,0.063
1089.50,0.064
1090.00,0.064
1090.50,0.064
1091.00,0.060
1091.50,0.058
1092.00,0.060
1092.50,0.060
1093.00,0.060
1093.50,0.058
1094.00,0.057
1094.50,0.058
1095.00,0.059
1095.50,0.061
1096.00,0.062
1096.50,0.061
1097.00,0.057
1097.50,0.057
1098.00,0.058
1098.50,0.060
1099.00,0.062
1099.50,0.065
1100.00,0.066
