"Original 1.5DF.spc - RawData"
"Wavelength nm.","Abs."
754.00,0.164
754.50,0.164
755.00,0.164
755.50,0.164
756.00,0.163
756.50,0.163
757.00,0.163
757.50,0.163
758.00,0.163
758.50,0.163
759.00,0.163
759.50,0.162
760.00,0.162
760.50,0.162
761.00,0.162
761.50,0.162
762.00,0.162
762.50,0.162
763.00,0.162
763.50,0.162
764.00,0.162
764.50,0.161
765.00,0.161
765.50,0.161
766.00,0.161
766.50,0.161
767.00,0.160
767.50,0.160
768.00,0.160
768.50,0.160
769.00,0.160
769.50,0.160
770.00,0.160
770.50,0.159
771.00,0.159
771.50,0.159
772.00,0.159
772.50,0.159
773.00,0.159
773.50,0.159
774.00,0.159
774.50,0.158
775.00,0.158
775.50,0.158
776.00,0.158
776.50,0.158
777.00,0.158
777.50,0.158
778.00,0.158
778.50,0.158
779.00,0.157
779.50,0.157
780.00,0.157
780.50,0.157
781.00,0.157
781.50,0.157
782.00,0.157
782.50,0.157
783.00,0.157
783.50,0.157
784.00,0.157
784.50,0.157
785.00,0.156
785.50,0.156
786.00,0.156
786.50,0.156
787.00,0.156
787.50,0.156
788.00,0.156
788.50,0.156
789.00,0.156
789.50,0.156
790.00,0.156
790.50,0.156
791.00,0.156
791.50,0.156
792.00,0.156
792.50,0.156
793.00,0.156
793.50,0.156
794.00,0.156
794.50,0.156
795.00,0.156
795.50,0.156
796.00,0.156
796.50,0.156
797.00,0.156
797.50,0.156
798.00,0.156
798.50,0.156
799.00,0.156
799.50,0.156
800.00,0.156
800.50,0.156
801.00,0.157
801.50,0.157
802.00,0.157
802.50,0.157
803.00,0.157
803.50,0.157
804.00,0.157
804.50,0.157
805.00,0.157
805.50,0.157
806.00,0.157
806.50,0.157
807.00,0.158
807.50,0.158
808.00,0.158
808.50,0.158
809.00,0.158
809.50,0.158
810.00,0.158
810.50,0.158
811.00,0.159
811.50,0.159
812.00,0.159
812.50,0.159
813.00,0.159
813.50,0.159
814.00,0.159
814.50,0.160
815.00,0.160
815.50,0.160
816.00,0.160
816.50,0.160
817.00,0.161
817.50,0.161
818.00,0.161
818.50,0.161
819.00,0.161
819.50,0.162
820.00,0.162
820.50,0.162
821.00,0.162
821.50,0.163
822.00,0.163
822.50,0.163
823.00,0.164
823.50,0.164
824.00,0.164
824.50,0.164
825.00,0.165
825.50,0.165
826.00,0.165
826.50,0.166
827.00,0.166
827.50,0.166
828.00,0.166
828.50,0.167
829.00,0.167
829.50,0.167
830.00,0.168
830.50,0.168
831.00,0.168
831.50,0.169
832.00,0.169
832.50,0.169
833.00,0.170
833.50,0.170
834.00,0.170
834.50,0.171
835.00,0.171
835.50,0.172
836.00,0.172
836.50,0.172
837.00,0.173
837.50,0.173
838.00,0.173
838.50,0.174
839.00,0.174
839.50,0.174
840.00,0.175
840.50,0.175
841.00,0.175
841.50,0.176
842.00,0.176
842.50,0.176
843.00,0.177
843.50,0.177
844.00,0.177
844.50,0.178
845.00,0.178
845.50,0.179
846.00,0.179
846.50,0.179
847.00,0.180
847.50,0.180
848.00,0.181
848.50,0.181
849.00,0.181
849.50,0.182
850.00,0.182
850.50,0.182
851.00,0.183
851.50,0.183
852.00,0.184
852.50,0.184
853.00,0.184
853.50,0.185
854.00,0.185
854.50,0.185
855.00,0.186
855.50,0.186
856.00,0.186
856.50,0.187
857.00,0.188
857.50,0.188
858.00,0.188
858.50,0.189
859.00,0.189
859.50,0.190
860.00,0.190
860.50,0.190
861.00,0.191
861.50,0.191
862.00,0.192
862.50,0.192
863.00,0.192
863.50,0.193
864.00,0.194
864.50,0.194
865.00,0.195
865.50,0.195
866.00,0.195
866.50,0.196
867.00,0.196
867.50,0.197
868.00,0.197
868.50,0.198
869.00,0.198
869.50,0.199
870.00,0.199
870.50,0.200
871.00,0.200
871.50,0.201
872.00,0.202
872.50,0.202
873.00,0.202
873.50,0.203
874.00,0.203
874.50,0.204
875.00,0.204
875.50,0.205
876.00,0.205
876.50,0.205
877.00,0.205
877.50,0.206
878.00,0.206
878.50,0.206
879.00,0.206
879.50,0.206
880.00,0.206
880.50,0.207
881.00,0.207
881.50,0.206
882.00,0.207
882.50,0.207
883.00,0.207
883.50,0.207
884.00,0.207
884.50,0.207
885.00,0.207
885.50,0.207
886.00,0.207
886.50,0.207
887.00,0.207
887.50,0.206
888.00,0.207
888.50,0.207
889.00,0.206
889.50,0.206
890.00,0.207
