A	B
774.92755	24.30876
776.21284	25.5766
777.4978	28.08035
778.78243	29.17072
780.06674	27.94401
781.35072	25.54557
782.63437	23.48536
783.91769	22.98142
785.20068	24.02222
786.48334	25.00798
787.76568	24.84324
789.04769	24.68691
790.32937	24.96669
791.61073	25.13285
792.89175	24.25328
794.17245	23.88279
795.45282	24.89832
796.73287	27.30387
798.01258	28.80834
799.29197	28.15493
800.57104	25.9977
801.84977	24.42974
803.12818	24.48759
804.40627	26.09523
805.68402	28.21713
806.96145	29.08899
808.23856	27.76049
809.51533	26.10128
810.79178	25.84042
812.06791	26.65312
813.34371	26.77431
814.61918	26.61305
815.89432	26.77325
817.16915	26.62228
818.44364	25.08948
819.71781	23.78976
820.99165	24.7444
822.26517	26.63415
823.53836	26.06977
824.81123	23.69273
826.08377	22.84709
827.35599	24.3254
828.62788	25.42677
829.89945	25.86034
831.17069	26.81085
832.4416	27.99667
833.7122	27.8022
834.98246	26.89848
836.25241	26.06755
837.52202	25.39285
838.79132	24.82121
840.06029	24.97896
841.32893	25.00123
842.59725	24.45181
843.86525	24.3783
845.13292	25.28
846.40027	26.26712
847.6673	26.1656
848.934	25.7314
850.20038	25.06697
851.46643	24.77217
852.73216	24.36236
853.99757	23.94396
855.26265	22.77746
856.52741	21.57487
857.79185	21.02301
859.05596	21.89891
860.31975	23.59306
861.58322	25.31051
862.84637	25.55355
864.10919	25.09799
865.37169	25.62588
866.63387	27.76513
867.89573	28.29126
869.15726	26.98272
870.41847	25.88232
871.67936	26.11652
872.93992	25.02304
874.20017	23.31816
875.46009	22.89877
876.71969	24.45535
877.97897	24.91532
879.23793	24.29209
880.49656	23.85864
881.75487	25.38601
883.01287	26.84479
884.27054	26.86943
885.52789	25.6214
886.78491	24.31176
888.04162	23.73253
889.29801	23.88547
890.55407	25.15244
891.80982	26.09349
893.06524	26.28026
894.32034	24.95503
895.57512	23.49025
896.82958	22.50167
898.08372	22.68647
899.33754	22.65645
900.59104	22.66108
901.84422	22.69025
903.09708	23.5575
904.34962	24.56106
905.60184	26.14817
906.85374	27.10129
908.10532	26.8041
909.35658	24.91178
910.60752	23.43471
911.85814	23.84961
913.10845	25.54061
914.35843	26.8375
915.60809	26.88875
916.85743	26.36478
918.10646	25.32798
919.35516	24.95557
920.60355	25.99524
921.85162	27.66979
923.09937	27.51616
924.3468	25.87595
925.59391	25.12961
926.8407	25.9273
928.08717	26.29666
929.33333	25.9544
930.57917	26.87562
931.82469	29.4502
933.06989	31.11515
934.31477	29.96399
935.55933	27.26086
936.80358	25.55505
938.04751	25.84416
939.29112	27.36708
940.53441	28.49427
941.77739	28.34182
943.02005	27.18032
944.26239	26.74566
945.50441	27.03148
946.74612	26.73696
947.98751	25.7212
949.22858	26.11503
950.46934	27.80989
951.70977	27.94471
952.9499	25.83527
954.1897	23.80425
955.42919	23.679
956.66836	24.77831
957.90721	26.05262
959.14575	26.95033
960.38397	27.01046
961.62188	26.73606
962.85947	26.28874
964.09674	26.27301
965.3337	26.06805
966.57034	25.48264
967.80666	24.1089
969.04267	23.26741
970.27837	24.12235
971.51375	25.98577
972.74881	26.30985
973.98356	23.96177
975.21799	21.42575
976.4521	21.27699
977.6859	23.78264
978.91939	26.68478
980.15256	28.30064
981.38542	28.1344
982.61796	27.32461
983.85018	26.49137
985.0821	25.54228
986.31369	24.32883
987.54497	23.75942
988.77594	24.03905
990.0066	24.77602
991.23693	25.1591
992.46696	26.3868
993.69667	27.95953
994.92606	28.49848
996.15515	26.92198
997.38392	26.40291
998.61237	27.33269
999.84051	28.23041
1001.06834	27.3267
1002.29585	26.2457
1003.52305	25.12909
1004.74994	24.70727
1005.97651	24.32104
1007.20277	24.34503
1008.42872	24.73068
1009.65435	26.09024
1010.87967	26.1889
1012.10468	24.34882
1013.32937	22.92174
1014.55375	24.19786
1015.77782	25.97878
1017.00158	26.04766
1018.22502	25.63717
1019.44815	26.82031
1020.67097	28.43276
1021.89347	28.47238
1023.11567	26.7086
1024.33755	24.7659
1025.55912	23.77982
1026.78038	23.91827
1028.00132	24.67505
1029.22196	25.42583
1030.44228	25.78861
1031.66229	26.22187
1032.88199	27.49806
1034.10137	29.253
1035.32045	29.77257
1036.53921	28.47866
1037.75767	27.26621
1038.97581	27.15878
1040.19364	27.90888
1041.41116	28.22127
1042.62836	28.46724
1043.84526	27.697
1045.06185	26.89838
1046.27812	26.85309
1047.49409	28.13433
1048.70974	28.79061
1049.92509	28.70894
1051.14012	29.06794
1052.35484	30.49239
1053.56926	31.88854
1054.78336	32.1264
1055.99715	31.19545
1057.21063	30.03423
1058.42381	29.24699
1059.63667	28.71268
1060.84922	27.78288
1062.06147	27.4128
1063.2734	27.78732
1064.48502	28.19108
1065.69634	27.65044
1066.90734	26.53014
1068.11804	25.36368
1069.32842	24.45843
1070.5385	24.43834
1071.74827	24.71133
1072.95773	24.88189
1074.16688	25.13316
1075.37572	25.97795
1076.58425	26.77853
1077.79247	27.35199
1079.00039	27.82144
1080.20799	27.49181
1081.41529	26.23164
1082.62228	25.17108
1083.82896	25.63467
1085.03534	26.93745
1086.2414	28.35122
1087.44716	28.86466
1088.65261	28.39847
1089.85775	27.13543
1091.06258	26.51298
1092.2671	26.30512
1093.47132	25.61397
1094.67523	24.54681
1095.87883	24.71646
1097.08213	25.77094
1098.28511	25.73768
1099.48779	25.10207
1100.69017	25.54689
1101.89223	26.84833
1103.09399	26.85323
1104.29544	26.25052
1105.49659	25.9527
1106.69742	25.47449
1107.89795	24.08456
1109.09818	23.92051
1110.2981	25.55503
1111.49771	26.85499
1112.69701	26.16779
1113.89601	25.2601
1115.0947	25.68503
1116.29309	26.73188
1117.49117	27.01998
1118.68894	26.43018
1119.88641	25.80411
1121.08357	25.0089
1122.28042	24.00088
1123.47697	23.1516
1124.67322	24.02142
1125.86915	25.52278
1127.06479	26.17595
1128.26011	25.08937
1129.45514	24.49996
1130.64985	25.4478
1131.84426	27.59459
1133.03837	28.52962
1134.23217	27.21453
1135.42567	25.01048
1136.61886	24.03281
1137.81175	24.57103
1139.00433	25.1324
1140.1966	25.54899
1141.38858	25.94439
1142.58024	26.36074
1143.77161	26.11666
1144.96267	25.35702
1146.15342	24.77025
1147.34387	25.11155
1148.53402	25.92176
1149.72386	25.43503
1150.9134	23.50868
1152.10263	21.89375
1153.29156	22.08212
1154.48019	23.18507
1155.66851	24.29953
1156.85653	25.08798
1158.04424	25.52034
1159.23166	25.11267
1160.41877	24.42256
1161.60557	24.18064
1162.79207	25.56514
1163.97827	28.02864
1165.16417	29.38719
1166.34976	28.08188
1167.53505	25.94974
1168.72004	25.91809
1169.90472	27.14663
1171.0891	28.28534
1172.27318	28.51962
1173.45696	28.25854
1174.64043	26.18001
1175.8236	24.06367
1177.00647	23.8196
1178.18904	25.61909
1179.3713	26.57905
1180.55326	26.17444
1181.73492	24.76682
1182.91628	23.26994
1184.09734	22.57824
1185.27809	23.96372
1186.45854	25.67727
1187.6387	25.82886
1188.81855	24.94638
1189.99809	25.42972
1191.17734	26.96511
1192.35628	28.74286
1193.53493	29.85026
1194.71327	29.95397
1195.89131	28.2505
1197.06905	26.04347
1198.24649	24.21358
1199.42363	23.51068
1200.60047	24.29014
1201.77701	26.41033
1202.95324	27.11609
1204.12918	25.00498
1205.30481	22.95164
1206.48015	24.56641
1207.65518	27.88977
1208.82992	28.33021
1210.00435	26.02672
1211.17848	25.26669
1212.35232	26.70198
1213.52585	27.0458
1214.69908	25.32809
1215.87202	24.03537
1217.04465	24.57538
1218.21698	25.9082
1219.38902	26.47303
1220.56075	25.58297
1221.73219	24.44406
1222.90332	24.95866
