LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
	6619.56625	-5.39862E-7	-4106.5176	-0.00178	1510.673	-2.3656E-15	-4.11895E-14
	6613.39795	3.09549E-9	23.56818	1.02027E-5	1512.082	1.35388E-17	2.43418E-16
	6607.24114	4.4647E-7	3402.46132	0.00147	1513.491	1.94909E-15	4.33968E-14
	6601.09578	6.20672E-7	4734.42388	0.00205	1514.9	2.70455E-15	5.61839E-14
	6594.96184	9.15817E-7	6992.25136	0.00303	1516.309	3.98321E-15	6.05746E-14
	6588.83496	6.3307E-7	4837.98063	0.00209	1517.719	2.74833E-15	3.62141E-14
	6582.72377	-2.9911E-7	-2287.94968	-9.90459E-4	1519.128	-1.29611E-15	-2.48116E-14
	6576.61959	-7.53896E-7	-5772.04502	-0.0025	1520.538	-3.26075E-15	-2.08215E-13
	6570.52672	-2.64332E-7	-2025.68033	-8.76922E-4	1521.948	-1.14117E-15	0
	6564.44082	4.44285E-7	3407.88654	0.00148	1523.359	1.91451E-15	9.74442E-14
	6558.37048	5.0836E-7	3902.98199	0.00169	1524.769	2.18657E-15	3.66757E-14
	6552.30707	1.21683E-7	935.09574	4.04805E-4	1526.18	5.22418E-16	7.99461E-15
	6546.25485	-1.54237E-7	-1186.36196	-5.13579E-4	1527.591	-6.6096E-16	-6.29391E-14
	6540.21381	-1.6897E-7	-1300.88403	-5.63156E-4	1529.002	-7.22759E-16	0
	6534.18391	-2.09916E-7	-1617.61104	-7.00268E-4	1530.413	-8.96246E-16	-5.40222E-13
	6528.16085	-1.61997E-7	-1249.49941	-5.40912E-4	1531.825	-6.90379E-16	-2.1377E-14
	6522.15315	1.19869E-7	925.41905	4.00616E-4	1533.236	5.09907E-16	1.26766E-14
	6516.15224	1.74972E-7	1352.06585	5.85313E-4	1534.648	7.42935E-16	1.37373E-14
	6510.16236	2.61893E-7	2025.59423	8.76885E-4	1536.06	1.10996E-15	2.83055E-14
	6504.17926	3.47687E-7	2691.63957	0.00117	1537.473	1.47087E-15	1.4759E-13
	6498.21137	2.36218E-8	183.0377	7.92375E-5	1538.885	9.97473E-17	4.48571E-15
	6492.2502	2.4768E-7	1920.94946	8.31584E-4	1540.298	1.04395E-15	3.66034E-14
	6486.29996	1.0535E-6	8178.21549	0.00354	1541.711	4.4323E-15	1.40715E-13
	6480.36062	1.08163E-6	8404.27855	0.00364	1543.124	4.54231E-15	1.60795E-13
	6474.42795	3.21635E-7	2501.3948	0.00108	1544.538	1.34824E-15	0
	6468.51032	-2.779E-7	-2163.24085	-9.36473E-4	1545.951	-1.16278E-15	0
	6462.59932	-4.78375E-7	-3727.19299	-0.00161	1547.365	-1.99794E-15	0
	6456.69912	-4.42661E-7	-3452.08499	-0.00149	1548.779	-1.84541E-15	-7.96005E-14
	6450.80967	-1.65857E-7	-1294.61135	-5.60441E-4	1550.193	-6.90178E-16	-1.90345E-14
	6444.92681	1.66507E-7	1300.87068	5.6315E-4	1551.608	6.9162E-16	1.84699E-14
	6439.05882	4.83723E-7	3782.63995	0.00164	1553.022	2.00559E-15	3.03811E-14
	6433.19736	6.8392E-7	5353.0236	0.00232	1554.437	2.83047E-15	3.97256E-14
	6427.34656	3.48848E-7	2732.91065	0.00118	1555.852	1.44112E-15	7.12566E-14
	6421.5064	-2.42488E-7	-1901.40489	-8.23123E-4	1557.267	-9.99919E-16	0
	6415.67683	-2.25851E-7	-1772.5569	-7.67345E-4	1558.682	-9.29623E-16	-3.49512E-14
	6409.85374	1.56921E-7	1232.69205	5.33636E-4	1560.098	6.4473E-16	2.21027E-14
	6404.04121	3.53098E-7	2776.27453	0.0012	1561.514	1.44812E-15	0
	6398.2392	1.24261E-7	977.90522	4.23338E-4	1562.93	5.08695E-16	0
	6392.44771	-6.92315E-7	-5453.27295	-0.00236	1564.346	-2.82903E-15	-6.25684E-13
	6386.6626	-7.67096E-7	-6047.78706	-0.00262	1565.763	-3.12894E-15	-1.36479E-13
	6380.89204	1.80868E-7	1427.25417	6.17862E-4	1567.179	7.36419E-16	1.82497E-14
	6375.12782	7.09648E-7	5604.98665	0.00243	1568.596	2.88417E-15	7.60742E-14
	6369.37401	5.7706E-7	4561.89132	0.00197	1570.013	2.34107E-15	0
	6363.62653	8.40384E-8	664.95718	2.87862E-4	1571.431	3.4032E-16	0
	6357.89345	-3.3615E-7	-2662.20197	-0.00115	1572.848	-1.35881E-15	-2.80562E-14
	6352.16666	-3.19868E-7	-2535.53579	-0.0011	1574.266	-1.29067E-15	-2.21346E-14
	6346.4542	-1.58394E-7	-1256.6942	-5.44026E-4	1575.683	-6.37973E-16	-5.06551E-14
	6340.74397	-8.12248E-8	-645.01423	-2.79228E-4	1577.102	-3.26565E-16	-1.6296E-13
	6335.04802	3.02087E-8	240.10584	1.03942E-4	1578.52	1.21236E-16	3.33644E-15
	6329.36229	2.55093E-7	2029.35732	8.78514E-4	1579.938	1.02192E-15	1.77645E-14
