WAVENUMBER	INTENSITY	A1	A2	B
1/cm	Counts/s	SC+M Total Fit	SC lorentzian	M BWF
				
	5 pts SG smooth of INTENSITY"Counts/s"			
21.60053	-44.07102	4.15257	0.00499	4.14758
23.07916	-44.07102	4.15285	0.005	4.14785
24.5574	-44.07102	4.15312	0.005	4.14812
26.03525	-44.07102	4.1534	0.00501	4.14839
27.51273	-44.07102	4.15368	0.00502	4.14866
28.98983	-44.07102	4.15397	0.00503	4.14893
30.46654	-44.07102	4.15425	0.00504	4.1492
31.94287	-44.07102	4.15453	0.00505	4.14948
33.41882	-44.07102	4.15481	0.00506	4.14975
34.8944	-44.07102	4.15509	0.00507	4.15002
36.36959	-44.07102	4.15538	0.00508	4.1503
37.8444	-44.07102	4.15566	0.00509	4.15057
39.31883	-44.07102	4.15595	0.0051	4.15084
40.79288	-44.07102	4.15623	0.00511	4.15112
42.26654	-44.07102	4.15651	0.00512	4.15139
43.73983	-44.07102	4.1568	0.00513	4.15167
45.21274	-44.07102	4.15709	0.00514	4.15195
46.68527	-44.07102	4.15737	0.00515	4.15222
48.15742	-44.07102	4.15766	0.00516	4.1525
49.62919	-44.07102	4.15795	0.00517	4.15278
51.10058	-44.07102	4.15824	0.00518	4.15306
52.57159	-44.07102	4.15853	0.00519	4.15334
54.04222	-44.07102	4.15881	0.0052	4.15362
55.51247	-44.07102	4.1591	0.00521	4.1539
56.98234	-44.07102	4.15939	0.00522	4.15418
58.45183	-44.07102	4.15969	0.00523	4.15446
59.92094	-44.07102	4.15998	0.00524	4.15474
61.38968	-44.07102	4.16027	0.00525	4.15502
62.85803	-44.07102	4.16056	0.00526	4.1553
64.32601	-44.07102	4.16085	0.00527	4.15558
65.79361	-44.07102	4.16115	0.00528	4.15587
67.26083	-44.07102	4.16144	0.00529	4.15615
68.72767	-44.07102	4.16174	0.0053	4.15643
70.19414	-44.07102	4.16203	0.00531	4.15672
71.66022	-44.07102	4.16233	0.00532	4.157
73.12593	-44.07102	4.16262	0.00533	4.15729
74.59126	-44.07102	4.16292	0.00534	4.15758
76.05621	-44.07102	4.16322	0.00535	4.15786
77.52078	-44.07102	4.16351	0.00536	4.15815
78.98498	-44.07102	4.16381	0.00537	4.15844
80.4488	-44.07102	4.16411	0.00538	4.15873
81.91224	-44.07102	4.16441	0.00539	4.15901
83.3753	-44.07102	4.16471	0.0054	4.1593
84.83799	-44.07102	4.16501	0.00542	4.15959
86.3003	-44.07102	4.16531	0.00543	4.15988
87.76223	-44.07102	4.16561	0.00544	4.16017
89.22379	-44.07102	4.16591	0.00545	4.16047
90.68497	-44.07102	4.16622	0.00546	4.16076
92.14577	-44.07102	4.16652	0.00547	4.16105
93.6062	-44.07102	4.16682	0.00548	4.16134
95.06625	-42.69447	4.16713	0.00549	4.16164
96.52592	-59.71617	4.16743	0.0055	4.16193
97.98522	-9.12199	4.16774	0.00551	4.16222
99.44414	35.51047	4.16804	0.00552	4.16252
100.90269	-47.58759	4.16835	0.00553	4.16281
102.36086	-494.6841	4.16865	0.00554	4.16311
103.81865	-1393.96088	4.16896	0.00556	4.16341
105.27607	-2760.87027	4.16927	0.00557	4.1637
106.73311	-3776.86324	4.16958	0.00558	4.164
108.18978	-3392.11965	4.16989	0.00559	4.1643
109.64607	-1810.61659	4.1702	0.0056	4.1646
111.10198	-463.66555	4.17051	0.00561	4.1649
112.55752	-129.94327	4.17082	0.00562	4.1652
114.01269	-200.63959	4.17113	0.00563	4.1655
115.46748	-178.52838	4.17144	0.00564	4.1658
116.9219	-81.14141	4.17175	0.00565	4.1661
118.37594	-77.5844	4.17207	0.00567	4.1664
119.82961	-85.53355	4.17238	0.00568	4.1667
121.2829	-91.33889	4.17269	0.00569	4.16701
122.73582	-87.6895	4.17301	0.0057	4.16731
124.18836	-84.70532	4.17332	0.00571	4.16761
125.64053	-84.44067	4.17364	0.00572	4.16792
127.09232	-85.73541	4.17396	0.00573	4.16822
128.54375	-83.61637	4.17427	0.00575	4.16853
129.99479	-79.05775	4.17459	0.00576	4.16883
131.44547	-76.4975	4.17491	0.00577	4.16914
132.89577	-77.98425	4.17523	0.00578	4.16945
134.34569	-81.40189	4.17555	0.00579	4.16976
135.79525	-83.81879	4.17587	0.0058	4.17006
137.24443	-83.84663	4.17619	0.00581	4.17037
138.69323	-81.60323	4.17651	0.00583	4.17068
140.14167	-79.26549	4.17683	0.00584	4.17099
141.58973	-77.77939	4.17715	0.00585	4.1713
143.03741	-77.46795	4.17748	0.00586	4.17161
144.48473	-77.68577	4.1778	0.00587	4.17193
145.93167	-77.76991	4.17812	0.00589	4.17224
147.37824	-77.63924	4.17845	0.0059	4.17255
148.82444	-77.37657	4.17877	0.00591	4.17286
150.27026	-77.63135	4.1791	0.00592	4.17318
151.71571	-77.82431	4.17943	0.00593	4.17349
153.16079	-77.40456	4.17975	0.00594	4.17381
154.6055	-75.40193	4.18008	0.00596	4.17412
156.04984	-73.32389	4.18041	0.00597	4.17444
157.4938	-72.59318	4.18074	0.00598	4.17476
158.93739	-72.3286	4.18107	0.00599	4.17508
160.38061	-70.15524	4.1814	0.00601	4.17539
161.82346	-67.17275	4.18173	0.00602	4.17571
163.26594	-65.20348	4.18206	0.00603	4.17603
164.70804	-63.37203	4.18239	0.00604	4.17635
166.14978	-60.19547	4.18273	0.00605	4.17667
167.59114	-58.51384	4.18306	0.00607	4.17699
169.03214	-60.27047	4.18339	0.00608	4.17731
170.47276	-62.82476	4.18373	0.00609	4.17764
171.91301	-62.58734	4.18406	0.0061	4.17796
173.35289	-61.48958	4.1844	0.00612	4.17828
174.7924	-61.80151	4.18474	0.00613	4.17861
176.23154	-62.9961	4.18507	0.00614	4.17893
177.67031	-62.44822	4.18541	0.00615	4.17926
179.1087	-60.195	4.18575	0.00617	4.17958
180.54673	-56.82374	4.18609	0.00618	4.17991
181.98439	-53.59493	4.18643	0.00619	4.18024
183.42168	-50.93575	4.18677	0.0062	4.18056
184.8586	-49.35027	4.18711	0.00622	4.18089
186.29514	-49.05668	4.18745	0.00623	4.18122
187.73132	-50.89225	4.18779	0.00624	4.18155
189.16713	-53.83229	4.18814	0.00626	4.18188
190.60257	-55.0848	4.18848	0.00627	4.18221
192.03764	-52.98617	4.18882	0.00628	4.18254
193.47234	-49.8376	4.18917	0.00629	4.18288
194.90667	-48.15256	4.18952	0.00631	4.18321
196.34064	-47.84717	4.18986	0.00632	4.18354
197.77423	-47.27028	4.19021	0.00633	4.18388
199.20746	-46.3488	4.19056	0.00635	4.18421
200.64031	-45.7415	4.1909	0.00636	4.18454
202.0728	-45.72478	4.19125	0.00637	4.18488
203.50492	-45.42117	4.1916	0.00639	4.18522
204.93667	-44.25163	4.19195	0.0064	4.18555
206.36805	-42.69376	4.1923	0.00641	4.18589
207.79907	-41.84198	4.19266	0.00643	4.18623
209.22971	-41.53762	4.19301	0.00644	4.18657
210.65999	-40.62528	4.19336	0.00645	4.18691
212.0899	-38.90646	4.19372	0.00647	4.18725
213.51944	-37.41549	4.19407	0.00648	4.18759
214.94862	-37.13657	4.19443	0.00649	4.18793
216.37742	-37.4151	4.19478	0.00651	4.18827
217.80586	-36.52183	4.19514	0.00652	4.18862
219.23393	-33.96136	4.19549	0.00653	4.18896
220.66164	-31.18625	4.19585	0.00655	4.1893
222.08898	-29.59246	4.19621	0.00656	4.18965
223.51595	-28.24503	4.19657	0.00658	4.18999
224.94255	-26.41042	4.19693	0.00659	4.19034
226.36878	-24.40387	4.19729	0.0066	4.19069
227.79465	-23.20921	4.19765	0.00662	4.19104
229.22016	-22.46814	4.19801	0.00663	4.19138
230.64529	-22.13371	4.19838	0.00665	4.19173
232.07006	-21.94495	4.19874	0.00666	4.19208
233.49447	-22.13045	4.19911	0.00667	4.19243
234.9185	-21.93617	4.19947	0.00669	4.19278
236.34217	-21.44436	4.19984	0.0067	4.19313
237.76548	-20.55947	4.2002	0.00672	4.19349
239.18842	-20.28801	4.20057	0.00673	4.19384
240.61099	-20.14542	4.20094	0.00674	4.19419
242.0332	-20.03575	4.20131	0.00676	4.19455
243.45504	-19.3255	4.20168	0.00677	4.1949
244.87652	-18.76938	4.20205	0.00679	4.19526
246.29763	-18.04796	4.20242	0.0068	4.19562
247.71837	-17.30392	4.20279	0.00682	4.19597
249.13875	-16.27419	4.20316	0.00683	4.19633
250.55877	-15.42485	4.20353	0.00685	4.19669
251.97842	-14.27489	4.20391	0.00686	4.19705
253.3977	-12.96023	4.20428	0.00687	4.19741
254.81662	-11.44114	4.20466	0.00689	4.19777
256.23518	-9.14794	4.20503	0.0069	4.19813
257.65337	-5.29489	4.20541	0.00692	4.19849
259.07119	-0.79159	4.20579	0.00693	4.19885
260.48865	3.34846	4.20617	0.00695	4.19922
261.90575	7.64402	4.20655	0.00696	4.19958
263.32248	12.00043	4.20692	0.00698	4.19995
264.73885	15.48752	4.20731	0.00699	4.20031
266.15486	18.18714	4.20769	0.00701	4.20068
267.5705	21.60755	4.20807	0.00702	4.20105
268.98578	24.89463	4.20845	0.00704	4.20141
270.40069	26.0629	4.20884	0.00705	4.20178
271.81524	23.97703	4.20922	0.00707	4.20215
273.22942	19.297	4.20961	0.00708	4.20252
274.64325	12.97495	4.20999	0.0071	4.20289
276.05671	6.44328	4.21038	0.00711	4.20326
277.4698	0.97401	4.21077	0.00713	4.20364
278.88254	-3.41709	4.21115	0.00715	4.20401
280.29491	-6.95555	4.21154	0.00716	4.20438
281.70691	-9.21016	4.21193	0.00718	4.20476
283.11856	-9.54986	4.21232	0.00719	4.20513
284.52984	-9.03753	4.21272	0.00721	4.20551
285.94076	-8.69763	4.21311	0.00722	4.20588
287.35131	-8.86333	4.2135	0.00724	4.20626
288.76151	-9.43861	4.21389	0.00726	4.20664
290.17134	-10.64137	4.21429	0.00727	4.20702
291.58081	-11.62949	4.21469	0.00729	4.2074
292.98992	-11.63666	4.21508	0.0073	4.20778
294.39866	-10.88311	4.21548	0.00732	4.20816
295.80705	-9.79931	4.21588	0.00733	4.20854
297.21507	-8.83739	4.21628	0.00735	4.20892
298.62273	-8.40543	4.21668	0.00737	4.20931
