WAVELENGTH	ABS
nm	Abs
464.25324	0.525
464.41754	0.52636
464.58182	0.52408
464.7461	0.52203
464.91038	0.52174
465.07464	0.52163
465.2389	0.52126
465.40316	0.52134
465.5674	0.52149
465.73164	0.52094
465.89588	0.52066
466.0601	0.52087
466.22432	0.52083
466.38854	0.52029
466.55274	0.51989
466.71694	0.51975
466.88114	0.51896
467.04532	0.51814
467.2095	0.51796
467.37368	0.51745
467.53784	0.51654
467.702	0.51637
467.86615	0.51675
468.0303	0.51611
468.19444	0.51537
468.35857	0.51557
468.5227	0.51523
468.68682	0.51452
468.85093	0.51452
469.01503	0.51462
469.17913	0.51439
469.34322	0.51379
469.50731	0.51284
469.67139	0.5124
469.83546	0.51239
469.99952	0.51154
470.16358	0.5102
470.32763	0.51021
470.49168	0.51127
470.65571	0.51148
470.81974	0.51043
470.98377	0.50911
471.14779	0.50842
471.3118	0.50817
471.4758	0.50805
471.6398	0.50811
471.80379	0.50768
471.96777	0.50725
472.13175	0.50772
472.29572	0.50771
472.45968	0.50692
472.62364	0.5065
472.78759	0.50625
472.95153	0.50581
473.11547	0.50516
473.27939	0.50515
473.44332	0.50504
473.60723	0.50435
473.77114	0.50435
473.93504	0.50431
474.09894	0.50385
474.26283	0.50307
474.42671	0.50279
474.59058	0.50299
474.75445	0.50225
474.91831	0.50181
475.08217	0.50209
475.24602	0.50204
475.40986	0.5017
475.57369	0.5012
475.73752	0.50091
475.90134	0.50069
476.06515	0.50027
476.22896	0.49994
476.39276	0.50002
476.55655	0.50005
476.72034	0.4995
476.88412	0.49889
477.04789	0.49873
477.21166	0.49893
477.37541	0.49857
477.53917	0.4977
477.70291	0.49774
477.86665	0.49866
478.03038	0.49914
478.19411	0.49835
478.35783	0.49718
478.52154	0.49676
478.68524	0.49665
478.84894	0.49702
479.01263	0.49753
479.17631	0.49707
479.33999	0.49667
479.50366	0.49679
479.66732	0.49648
479.83098	0.49596
479.99463	0.49553
480.15827	0.4956
480.32191	0.49562
480.48554	0.49505
480.64916	0.49474
480.81277	0.49453
480.97638	0.49439
481.13999	0.49449
481.30358	0.49457
481.46717	0.49444
481.63075	0.49401
481.79432	0.49384
481.95789	0.49391
482.12145	0.49419
482.285	0.49431
482.44855	0.49385
482.61209	0.49345
482.77562	0.49359
482.93915	0.49378
483.10267	0.49335
483.26618	0.49283
483.42969	0.49325
483.59319	0.49389
483.75668	0.4935
483.92016	0.49287
484.08364	0.49252
484.24711	0.49368
484.41058	0.4948
484.57403	0.49309
484.73749	0.4915
484.90093	0.49143
485.06437	0.49152
485.2278	0.4914
485.39122	0.49121
485.55463	0.49122
485.71804	0.49099
485.88145	0.49077
486.04484	0.49173
486.20823	0.49285
486.37161	0.49209
486.53499	0.49109
486.69835	0.49124
486.86171	0.49133
487.02507	0.49142
487.18842	0.49161
487.35176	0.49178
487.51509	0.492
487.67842	0.49174
487.84174	0.49144
488.00505	0.49148
488.16835	0.49166
488.33165	0.49186
488.49494	0.4914
